URL,Mã_Tin,Tên_Xe,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Mô_Tả,Người_Liên_Hệ
https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2025-6684937,6684937,"Xe 
			
							Toyota Corolla Cross 
						1.8V 
						2025
						- 805 Triệu",2025,Xe đã dùng,"7,700 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Đỏ,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"ĐỈNH CAO SIÊU LƯỚT
 | ✧ Toyota Corolla Cross 1.8V nhập khẩu Thái Lan
 | ✧ Sản xuất: 2025
 | ✧ Số tự động
 | ✧ Máy xăng
 | ✧ Số chỗ ngồi: 5 chỗ
 | ✧ Màu xanh đá – Nội thất đỏ
 | ✧ ODO lăn bánh đúng: 7,700 Km. Chất xe mới 99%, không có chiếc thứ 2 trên thị trường
 | ✧ Bản Full xăng 1.8V trang bị: Gói an toàn adas TSS, camera 360 độ, ghế da cao cấp, cửa sổ trời, camera hành trình, cân bằng điện tử ...
 | ✧ TÌNH TRẠNG XE: Xe không lỗi, (động cơ, hộp số, keo chỉ, khung gầm) zin nguyên bản 100%, bốn vỏ zin theo xe, bánh sơ cua chưa hạ, nội ngoại thất sạch sẽ
 | ✧ XE ĐƯỢC CAM KẾT: Không tai nạn đâm đụng, không ngập nước, không tua km, không phạt nguội
 | ✧ Bao test hãng thầy thợ thoải mái
 | ✧ Hỗ trợ sang tên, giao xe toàn quốc, bảo hành chính hãng tới năm 2029, cam kết chất lượng bằng văn bản, nhận giao lưu trao đổi các dòng xe khác
 | ✧ Giá bán: (còn thương lượng)",Đào Huỳnh Đức
https://bonbanh.com/xe-lexus-lm-500h-2024-6691380,6691380,"Xe 
			
							Lexus LM 
						500h 
						2024
						- 8 Tỷ 579 Triệu",2024,Xe đã dùng,"16,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid  2.4 L,Trắng,Đen,4 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Lexus LM500h – Phiên bản 4 ghế | Đỉnh cao của sự sang trọng
 | Không đơn thuần là một chiếc MPV, Lexus LM500h được tạo ra như một không gian thương gia di động, nơi mỗi hành trình đều trở thành trải nghiệm nghỉ ngơi và thư giãn đúng nghĩa. Phiên bản 4 ghế thương gia mang lại sự riêng tư, tiện nghi và đẳng cấp mà rất ít mẫu xe trên thị trường có thể sánh được. | 
 |  Thông tin xe
 | ✓ Lexus LM500h – phiên bản 4 ghế thương gia
 | ✓ Năm sản xuất: 2024
 | ✓ Odo: 16.000 km
 | ✓ Nội thất khoang sau hạng thương gia với ghế massage, màn hình lớn và vách ngăn riêng tư
 | ✓ Tình trạng xe đẹp, vận hành êm ái đúng chuẩn Lexus | 
 | Một lựa chọn hoàn hảo cho những khách hàng cần:
 | -xe đưa đón doanh nhân / VIP
 | -xe gia đình cao cấp
 | -không gian nghỉ ngơi sang trọng trên mọi hành trình | 
 |  Xem xe trực tiếp Inbox nếu khách đang tìm một chiếc Lexus LM sang trọng, đã qua sử dụng nhưng tình trạng cực đẹp.",Giang Phan
https://bonbanh.com/xe-porsche-macan-2.0-2019-6679056,6679056,"Xe 
			
							Porsche Macan 
						2.0 
						2019
						- 2 Tỷ 199 Triệu",2019,Xe đã dùng,"45,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Đỏ,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Porsche Macan 2.0 sx2019 - bill option gần 1 tỷ
 | Màu trắng, nội thất đỏ
 | Odo: 45.000km
 | Hỗ trợ trả góp ngân hàng
 | Cam kết: xe không đâm đụng, không ngập nước, không thuỷ kích, không tua kilomet",Hoàng Thọ
https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2021-6643303,6643303,"Xe 
			
							Ford Ranger 
						Wildtrak 2.0L 4x4 AT 
						2021
						- 760 Triệu",2021,Xe đã dùng,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Cam,Đen,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh,"FORD RANGER WT 2.0l 2cầu
 | ✓Sản xuất: 2021
 | ✓Xe xuất hóa đơn đủ
 | ✓Bảo hành chính hãng 1 năm/20.000km
 | ✓Màu: Cam
 | ✓Phụ kiện đi kèm:
 | - Phim cách nhiệt
 | - Lót sàn",Như Ngọc
https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6622063,6622063,"Xe 
			
							Mercedes Benz GLC 
						300 4Matic 
						2021
						- 1 Tỷ 699 Triệu",2021,Xe đã dùng,"24,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Kem,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Commingsoon Mercedes GLC 300 4matic 2022
 | ✓Sản xuất: 2021
 | ✔ ODO: 24000 km 
 | ✔ BD chính hãng Mercedes toàn quốc 
 | ✔ Biển thành phố Hà Nội 
 | ✔ Màu trắng nội thất kem 
 |  Tặng ngay gói spa và phủ Ceramic.
 | ⚠️ Xe không đâm đụng, không ngập nước, km chuẩn. Tất cả xe đã được kiểm tra check test cẩn thận trước khi chào ra thị trường.
 |  NH hỗ trợ 70% thời gian 5 năm  | 
 | ThếGiớiXeĐức TGXĐ Địa chỉ uy tín bán Mercedes, maybach, Audi, BMW, Porches, Range Rover
 |  ĐC - Số 6-8 Nguyễn Văn Cừ, Bồ Đề, LB, HN",Thế Giới Xe Đức
https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2021-6693976,6693976,"Xe 
			
							Toyota Corolla Cross 
						1.8G 
						2021
						- 630 Triệu",2021,Xe đã dùng,"22,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Toyota corolla Cross sx 2021 1.8G 
 | Tên cá nhân. Biển Hà Nội
 | Odo 2,2 vạn km zin,full ls hãng. 
 | Sơn zin. 90%
 | Cam kết k đâm va thủy kích. 
 | Khung giằng, sắt xi. Cột kèo, keo chỉ. Nguyên bản. 
 | Hỗ trợ bank 70%",C2 Auto
https://bonbanh.com/xe-mg-5-luxury-1.5-at-2024-6687877,6687877,"Xe 
			
							MG 5 
						Luxury 1.5 AT 
						2024
						- 445 Triệu",2024,Xe đã dùng,"15,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Vàng,Đen,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"MG5 2024 Luxury 
 | Odo 15.000Km 
 | Xe nhập Thái Lan
 | Trang bị: trần sao rơi, thảm taplo, thảm sàn, cửa sổ trời, mâm phay thể thao , cam 360, phanh tay điện tử, đồng hồ điện tử, ghế lái chỉnh điện, ghế da phong cách thể thao có phối viền đỏ, ... 
 | - Bảo hành chính hãng 5 năm không giới hạn km",Ô Tô Lướt Bình Dương
https://bonbanh.com/xe-toyota-camry-2.5q-2013-6558882,6558882,"Xe 
			
							Toyota Camry 
						2.5Q 
						2013
						- 459 Triệu",2013,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Đen,Đen,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"Toyota Camry 2.5 Q 2013 bản full kịch zin toàn bộ xe, bao check test, bảo hành động cơ 06 tháng. Phát hiện lỗi thanh toán taxi 2 chiều đi lại cho khách hàng.",Sáng Trần ÔTô
https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2021-6692183,6692183,"Xe 
			
							VinFast Lux SA 2.0 
						Premium 2.0 AT 
						2021
						- 718 Triệu",2021,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Lux SA Premium (full) sx 2021 màu đen, nội thất màu coffee thịnh hành nhất
 | (Khẳng định là chiếc xe vượt trội nhất thị trường chuyển nhượng về độ đẹp, đi giữ trong tầm tiền cùng đời sx 2021) | 
 |  Pháp lý chính chủ tư nhân
 |  7 vạn km (không tour)
 |  Trang bị full thiết bị của bản Premium: 2 ghế trước chỉnh điện, cam 360 và nhiều tính năng hiện đại của bản full
 |  Độ thêm: phim cách nhiệt Mỹ 3M chính hãng, thảm sàn | 
 |  Cam kết: dứt khoát toàn xe nguyên bản (ngập nước, thủy kích, tu bổ động cơ = 0).
 | Sơn zin 85%, kết cấu nguyên zin, không 1 cm keo chỉ, cột kèo, 6 kính, gầm, càng nguyên zin, 4 cánh, capo, cốp sau... 2 tai zin 100% | 
 |  Hỗ trợ hồ sơ, test bất kỳ hãng, garage hay thợ xem do khách chỉ định, ship tận nơi. | 
 | Khách phát hiện lỗi nhỏ không đúng với miêu tả, trả full đủ tiền và đền khách 10–20 triệu công đi lại giao dịch. | 
 | Cam kết bằng văn bản kèm video khi giao xe, uy tín tại showroom.",Việt Hùng Auto
https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2007-6691296,6691296,"Xe 
			
							Mercedes Benz C class 
						C200 Avantgarde 
						2007
						- 199 Triệu",2007,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Đen,Đen,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Mercedes Benz C200 sx 2007. Mới đi chỉ 8 vạn km ( siêu ít cho một chiếc xe 18 năm). Máy móc nguyên zin khô ráo. Thuộc lô đầu tiên lắp ráp trong nước nên 80% linh kiện là nhập Đức, loa Harman Kardon, có lốp sơ cua.",HT Car Auto
https://bonbanh.com/xe-ford-f150-limited-2016-6683819,6683819,"Xe 
			
							Ford F150 
						Limited 
						2016
						- 2 Tỷ 130 Triệu",2016,Xe đã dùng,"53,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Xăng  3.5 L,Trắng,Nâu,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh,"DUY NHẤT TRÊN THỊ TRƯỜNG.
 | KHỦNG LONG NHẬP MỸ.
 | - Ford F150 Limited sx 2016 đăng ký lần đầu 2017, Odo: 53,000Miles siêu mới, biển A ko niên hạn ( Ô tô con Pickup ), siêu hiếm trên thị trường. Xe trang bị động cơ xăng V6 3.5L Ecoboost cho công suất 365hp. Xe trang bị full kịch Option: cửa trời toàn cảnh, cam 360, cảnh báo điểm mù, lazang 22inch, ghế massage, sưởi và làm mát ghế, nắp cuộn điện..vv
 | - Xe nguyên bản, cực mới, kiểm tra và giao xe toàn quốc.",Hà Nội - Auto
